Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
2008.09.00,Sep-2008,2008.0,USA,Surfing,M,,N,Morning,
2008.08.30.c,30-Aug-2008,2008.0,AUSTRALIA,Surfing,M,29,N,,
2008.08.30.b,30-Aug-2008,2008.0,USA,Swimming,M,27,,19h20,Shark involvement not confirmed
2008.08.30.a,30-Aug-2008,2008.0,ENGLAND,Fishing,M,52,N,,Blue shark
2008.08.28,28-Aug-2008,2008.0,USA,Surfing,M,19,N,12h00,
2008.08.27,27-Aug-2008,2008.0,USA,Surfing,M,26,N,11h00,6' shark
2008.08.24,24-Aug-2008,2008.0,USA,Surfing,M,20,N,15h00,
2008.08.22,24-Aug-2008,2008.0,USA,Surfing,F,20,,18h00,Shark involvement not confirmed
2008.08.20,20-Aug-2008,2008.0,USA,Swimming,M,47,N,14h45,
2008.08.18,18-Aug-2008,2008.0,USA,,M,7,,,Shark involvement not confirmed
2008.08.16,16-Aug-2008,2008.0,USA,Treading water,F,38,N,Dusk,8' bull shark or Caribbean reef shark
2008.08.12,12-Aug-2008,2008.0,USA,Wading,F,13,N,12h05,
2008.08.11,11-Aug-2008,2008.0,USA,Diving,M,,N,14h00,"Tiger shark, 12'"
2008.07.30.R,30-Jul-2008,2008.0,AUSTRALIA,Surfing,M,31,N,10h30,8' white shark or 7-gill shark
2008.07.30,Reported 30-Jul-2008,2008.0,SOUTH AFRICA,,M,,N,,White shark
2008.07.27,27-Jul-2008,2008.0,PANAMA,Surfing,M,,N,18h00,3'  shark
2008.07.26.b,26-Jul-2008,2008.0,MEXICO,Swimming,M,33,N,,2'  shark
2008.07.26.a,26-Jul-2008,2008.0,USA,Swimming,M,,N,15h30,2' to 3' reef shark
2008.07.25.b,25-Jul-2008,2008.0,USA,Surfing,M,17,N,09h00,
2008.07.25.a,25-Jul-2008,2008.0,USA,Diving,F,44,N,08h45,
2008.07.24.b,24-Jul-2008,2008.0,USA,Wading,M,9,N,,3' shark
2008.07.24.a,24-Jul-2008,2008.0,USA,Wading,F,8,N,13h00,3' to 4' shark
2008.07.23,23-Jul-2008,2008.0,USA,Surfing,M,15,N,14h30,
2008.07.19,19-Jul-2008,2008.0,USA,Wading,M,16,N,13h55,4' shark
2008.07.18,18-Jul-2008,2008.0,EGYPT,Diving,M,,N,,Oceanic whitetip shark
2008.07.13,13-Jul-2008,2008.0,USA,Surfing,M,52,,,Shark involvement not confirmed
2008.07.11,11-Jul-2008,2008.0,USA,Surfing,M,24,N,14h00,
2008.07.09,09-Jul-2008,2008.0,USA,Swimming,F,14,N,19h30,
2008.07.05,05-Jul-2008,2008.0,USA,,F,17,N,14h21,
2008.07.00,Late Jul-2008,2008.0,UNITED KINGDOM,Rowing an inflatable dinghy,M,16,N,,"Starry smoothhound shark, 1m"
2008.06.28.c,28-Jun-2008,2008.0,USA,Wading,M,53,,Afternoon,Shark involvement prior to death not confirmed
2008.06.28.b,28-Jun-2008,2008.0,BAHAMAS,Fishing,M,42,N,11h00,"Bull shark, 6' to 7'"
2008.06.28.a,28-Jun-2008,2008.0,SOUTH AFRICA,Surfing,M,46,N,14h00,"White shark, 2m"
2008.06.26.R,Reported 26-Jun-2008,2008.0,SOUTH AFRICA,Fishing,M,,N,,"White shark, 4.5m"
2008.06.26.b,26-Jun-2008,2008.0,USA,Surfing,M,29,N,Afternoon,
2008.06.26.a,26-Jun-2008,2008.0,USA,Swimming,M,37,N,11h15,4.5 to 5' shark
2008.06.24,24-Jun-2008,2008.0,BRAZIL,Surfing,M,,N,Morning,
2008.06.21,21-Jun-2008,2008.0,USA,Kayaking,F,40,N,09h00,"White shark, 15'"
2008.06.20,20-Jun-2008,2008.0,USA,Wading,F,35,N,11h10,
2008.06.11,11-Jun-2008,2008.0,BRAZIL,Surfing,M,14,N,,
2008.06.07,07-Jun-2008,2008.0,USA,Surfing,M,40,N,,
2008.06.02.R,Reported 02-Jun-2008,2008.0,SCOTLAND,Fishing,,,N,,Basking shark
2008.06.01.b,01-Jun-2008,2008.0,USA,Surfing,F,15,N,18h30,5' shark
2008.06.01.a,01-Jun-2008,2008.0,BRAZIL,Swimming,M,14,N,15h00,Bull shark
2008.05.26,26-May-2008,2008.0,USA,Surfing,M,9,N,15h50,
2008.05.24.b,24-May-2008,2008.0,BAHAMAS,Sea Disaster,M,,N,,Tiger sharks in area
2008.05.24.a,24-May-2008,2008.0,MEXICO,Surfing,M,49,N,Early morning,3 m shark
2008.05.23,23-May-2008,2008.0,MEXICO,Surfing,M,21,Y,,2 m shark
2008.05.14,14-May-2008,2008.0,FIJI,Diving,M,28,Y,Night,
2008.05.10,10-May-2008,2008.0,AUSTRALIA,Swimming,M,37,N,07h30,"White shark, 4m"
2008.05.07.b,07-May-2008,2008.0,NEW CALEDONIA,Fishing,M,40,N,14h00,2 small bull sharks
2008.05.07.a,07-May-2008,2008.0,USA,Wading,M,6,N,Just before noon,
2008.05.01,01-May-2008,2008.0,SOUTH AFRICA,Fishing,M,24,N,,
2008.04.28.b,28-Apr-2008,2008.0,MEXICO,Surfing,M,24,Y,Afternoon,Tiger shark
2008.04.28.a,28-Apr-2008,2008.0,USA,Surfing,M,18,N,11h45,4' shark
2008.04.27,27-Apr-2008,2008.0,USA,Surfing,M,24,N,10h30,
2008.04.26.b,26-Apr-2008,2008.0,NEW CALEDONIA,Swimming,M,32,N,Morning,"Bull shark, 1.8m"
2008.04.26.a,26-Apr-2008,2008.0,USA,Surfing,M,21,N,09h50,
2008.04.25,25-Apr-2008,2008.0,USA,Swimming,M,66,Y,07h00,"White shark, 12' to 15'"
2008.04.20.b,20-Apr-2008,2008.0,USA,Surfing,M,14,N,08h45,
2008.04.20.a,20-Apr-2008,2008.0,AUSTRALIA,,M,,U,,"Tiger shark, 2.3m "
2008.04.19.R,Reported 19-Apr-2008,2008.0,SOUTH AFRICA,Diving,M,,,,"Tiger shark, 13' female"
2008.04.18,18-Apr-2008,2008.0,MEXICO,Swimming,M,32,,Evening,"Reported by media as shark attack, but shark involvement prior to death was not confirmed"
2008.04.17,17-Apr-2008,2008.0,AUSTRALIA,Surfing,M,19,,11h00,Shark involvement not confirmed; thought to be a barracuda bite
2008.04.15,15-Apr-2008,2008.0,USA,Surfing,M,30,N,15h00,1.5' to 2' shark
2008.04.09.R,Reported 09-Apr-2008,2008.0,FIJI,Fishing,M,,N,,
2008.03.25,25-Mar-2008,2008.0,USA,Wading,M,15,N,,6' shark
2008.04.08.R,Reported 08-Apr-2008,2008.0,USA,Surfing,,,N,,
2008.04.08,08-Apr-2008,2008.0,AUSTRALIA,Body boarding,M,16,Y,08h05,Bull shark
2008.04.03,03-Apr-2008,2008.0,USA,Surfing,M,18,N,12h00,
2008.03.28.c,28-Mar-2008,2008.0,SOUTH AFRICA,Fishing,M,39,N,,
2008.03.28.b,28-Mar-2008,2008.0,USA,Surfing,M,52,N,18h50,4' to 5' shark
2008.03.28.a,28-Mar-2008,2008.0,USA,Boogie Boarding,M,,N,,a small shark
2008.03.23,23-Mar-2008,2008.0,USA,Surfing,M,13,N,11h30,2.5' shark
2008.03.21,21-Mar-2008,2008.0,USA,Wading,M,14,N,15h53,
2008.03.15,15-Mar-2008,2008.0,USA,Jet skiing,M,8,N,Afternoon,Shark involvement not confirmed
2008.03.07,07-Mar-2008,2008.0,USA,Surfing,M,27,N,08h00,White shark
2008.02.24,24-Feb-2008,2008.0,BAHAMAS,Diving,M,49,Y,10h00,"A bull shark, according to some of the divers on the boat"
2008.02.21.R,Reported 21-Feb-2008,2008.0,FRENCH POLYNESIA,Fishing,M,26,N,,
2008.02.15,15-Feb-2008,2008.0,USA,Surfing,M,25,N,17h00,
2008.02.07,07-Feb-2008,2008.0,AUSTRALIA,Surfing,F,14,N,,1 m shark
2008.02.06,06-Feb-2008,2008.0,USA,Surfing,M,,N,,3' shark
2008.01.30,2008.01.30,2008.0,JAPAN,Diving,M,,,,"Goblin shark, 4.2'"
2008.01.29,29-Jan-2008,2008.0,SOUTH AFRICA,Surfing,M,42,N,,"Blacktip shark, 2m"
2008.01.27,27-Jan-2008,2008.0,AUSTRALIA,Accidentally stood on hooked shark's tail before attempting to gut it ,M,20,N,07h30,"Mako shark, 90kg"
2008.01.19.R,Reported 19-Jan-2008,2008.0,NEW ZEALAND,Wading,M,,,,No shark involvement
2008.01.14,14-Jan-2008,2008.0,NEW ZEALAND,Attempting to chase shark out to sea,,,N,14h00,"Bronze whaler shark, 4m"
2008.01.10,10-Jan-2008,2008.0,USA,Surfing,M,20,N,,a small shark
2008.00.00.b,Fall 2008,2008.0,USA,Fishing,M,,N,,"Nurse shark, 10'"
2008.00.00.a,Summer-2008,2008.0,MEXICO,Surfing,M,26,N,,Possibly a hammerhead shark
2007.12.21,21-Dec-2007,2007.0,ECUADOR,Surfing,M,24,N,,3 m shark
2007.12.19,19-Dec-2007,2007.0,BRITISH VIRGIN ISLANDS,Diving,M,53,,,Invalid
2007.12.18,18-Dec-2007,2007.0,AUSTRALIA,Surfing,M,31,N,11h00,2 m shark
2007.12.15,15-Dec-2007,2007.0,AUSTRALIA,Swimming,M,teen,N,,"""a small shark"""
2007.12.14,14-Dec-2007,2007.0,AUSTRALIA,Swimming,M,34,,20h30,Not a shark attack; it was a hoax
2007.12.10,10-Dec-2007,2007.0,USA,Surfing,M,52,N,"""Just before 11h00""",Tiger shark
2007.12.09,09-Dec-2007,2007.0,NEW ZEALAND,Surfing,F,,N,,
2007.12.07,07-Dec-2007,2007.0,BRAZIL,Fishing,M,28,N,,2.27 m shark
2007.11.18,18-Nov-2007,2007.0,AUSTRALIA,Fishing,M,32,N,,reef shark
2007.11.08,08-Nov-2007,2007.0,AUSTRALIA,Surfing,M,,N,14h20,
2007.11.07,07-Nov-2007,2007.0,SOUTH AFRICA,Surfing,M,14,N,17h30,1.5 to 2 m shark
2007.11.06,06-Nov-2007,2007.0,USA,Surfing,M,21,N,11h115,4' to 5' shark
2007.11.04,04-Nov-2007,2007.0,USA,Surfing,M,42,N,09h00,5' shark
2007.11.03,03-Nov-2007,2007.0,SOUTH AFRICA,Surfing,M,37,N,08h45,"White shark, 3m to 4m"
2007.11.00,November 2011,2007.0,MEXICO,Diving,M,,,,Invalid
2007.10.29,29-Oct-2007,2007.0,USA,Floating,M,32,N,15h30,Tiger shark
2007.10.15,15-Oct-2007,2007.0,AUSTRALIA,Surfing,F,52,N,11h30,"White shark, 2.5m "
2007.10.13,13-Oct-2007,2007.0,AUSTRALIA,Fishing,M,31,N,12h00,Bronze whaler shark
2007.10.07,07-Oct-2007,2007.0,USA,Surfing,M,22,N,20h30,3' to 4' shark
2007.10.06,06-Oct-2007,2007.0,USA,Surfing,M,16,N,08h10,"Blacktip shark, 5'"
2007.09.30.c,30-Sep-2007,2007.0,USA,Surfing,M,,N,11h30,
2007.09.30.b,30-Sep-2007,2007.0,PHILIPPINES,Fishing,M,,Y,14h40,
2007.09.30.a,30-Sep-2007,2007.0,NEW CALEDONIA,Swimming,F,23,Y,Early morning,Tiger shark
2007.09.28,28-Sep-2007,2007.0,BAHAMAS,Fishing,F,48,N,12h00,Caribbean reef shark
2007.09.27.b,27-Sep-2007,2007.0,USA,Surfing,F,,N,08h15,White shark
2007.09.27.a,27-Sep-2007,2007.0,EGYPT,Swimming,F,18 or 20,N,07h00,Oceanic whitetip sharks were in the vicinity
2007.09.22.b,22-Sep-2007,2007.0,USA,Diving,F,,,,Shark involvement prior to death was not confirmed
2007.09.22.a,22-Sep-2007,2007.0,USA,Surfing,F,,N,,4' shark
2007.09.20,20-Sep-2007,2007.0,USA,Surfing,M,23,N,18h20,3' shark
2007.09.17,17-Sep-2007,2007.0,SOLOMON ISLANDS,Fishing,M,,N,Dusk,Gray reef shark
2007.09.16.b,16-Sep-2007,2007.0,USA,Wading?,M,56,N,11h15,
2007.09.16.a,16-Sep-2007,2007.0,USA,Surfing,F,Teen,N,Early morning,9.5' shark?
2007.09.13,13-Sep-2007,2007.0,USA,Diving,M,14,N,16h00,"Nurse shark, 2' to 3' "
2007.09.08,08-Sep-2007,2007.0,USA,Wading,F,58,N,11h45,
2007.09.05,05-Sep-2007,2007.0,USA,Wading,F,36,N,13h42,
2007.09.04,04-Sep-2007,2007.0,USA,Standing,M,15,N,18h30,
2007.09.03.b,03-Sep-2007,2007.0,USA,Jumping,F,12,N,Morning,"18"" to 24"" shark"
2007.09.03.a,03-Sep-2007,2007.0,USA,Swimming,M,58,N,09h45,Possibly a spinner shark
2007.08.28.b,28-Aug-2007,2007.0,USA,Body boarding,M,15,N,16h30,"Tiger shark, 10' to 12' "
2007.08.28.a,28-Aug-2007,2007.0,USA,Surfing,M,24,N,10h45,"White shark, 12'"
2007.08.26,26-Aug-2007,2007.0,USA,Surfing,M,54,N,14h00,3' shark
2007.08.25,25-Aug-2007,2007.0,USA,Surfing,M,27,N,Morning,3' shark
2007.08.22,22-Aug-2007,2007.0,USA,Diving,M,,N,,Sand shark
2007.08.20,20-Aug-2007,2007.0,USA,Fishing,M,,N,19h45,Sandtiger shark
2007.08.19.c,19-Aug-2007,2007.0,USA,Swimming,M,52,N,20h15,
2007.08.19.b,19-Aug-2007,2007.0,USA,Surfing,M,16,N,12h39,4' to 5' shark
2007.08.19.a.,19-Aug-2007,2007.0,USA,Playing,M,7,N,10h00,
2007.08.15,15-Aug-2007,2007.0,USA,Fishing,M,20,N,Night,Possibly a 6' bull shark
2007.08.12,12-Aug-2007,2007.0,USA,Swimming,F,15,N,17h35, 
2007.08.11,11-Aug-2007,2007.0,USA,Surfing,M,19,N,18h00,
2007.08.09.b,09-Aug-2007,2007.0,USA,Swimming,M,30,N,16h40,
2007.08.09.a,09-Aug-2007,2007.0,USA,Boogie Boarding,M,9,N,14h00,
2007.08.07,07-Aug-2007,2007.0,USA,Jumped into the water,F,19,N,Afternoon,Possibly a 10' bull shark
2007.07.29,29-Jul-2007,2007.0,USA,Surfing,M,51,N,Afternoon,
2007.07.28,28-Jul-2007,2007.0,USA,Surfing,M,20,N,23h00,
2007.07.22,22-Jul-2007,2007.0,USA,Surfing,M,,N,,"White shark, 12' "
2007.07.21,21-Jul-2007,2007.0,USA,Fishing,M,,N,10h15,White shark
2007.07.19.b,19-Jul-2007.b,2007.0,USA,Diving,M,36,N,15h15, 
2007.07.19.a,19-Jul-2007.a,2007.0,AUSTRALIA,Wading,M,15,N,11h00,"Bronze whaler shark, 1.5 m "
2007.07.18.b,18-Jul-2007,2007.0,USA,Swimming,M,14,N,12h30,2' to 3' shark
2007.07.18.a,18-Jul-2007,2007.0,NORWAY,Diving,M,48,N,,"3' small spotted catshark, Scyliorhinus canicula"
2007.07.17.b,17-Jul-2007,2007.0,USA,Swimming,F,43,,11h00,Shark involvement not confirmed
2007.07.17.a,17-Jul-2007,2007.0,USA,Wading,F,30,N,13h00,5' shark
2007.07.10,10-Jul-2007,2007.0,BAHAMAS,Fishing,F,48,N,11h00,"Bull shark, 5' "
2007.07.05,05-Jul-2007,2007.0,USA,Surfing,M,18,N,16h00,
2007.07.04,04-Jul-2007,2007.0,REUNION,Body boarding,M,17,N,14h30,2 m shark
2007.07.00,Jul-2007,2007.0,SENEGAL,Murder,,,,,Questionable Incident
2007.06.30.b,30-Jun-2007,2007.0,USA,Removing hook from shark,M,,N,,"Lemon shark, 6' female "
2007.06.30.a,30-Jun-2007,2007.0,USA,Swimming,F,,N,10h00,
2007.06.25,25-Jun-2007,2007.0,USA,Surfing,M,20,N,17h30,4' shark
2007.06.24,24-Jun-2007,2007.0,USA,Surfing,M,,N,07h05,Tiger shark
2007.06.17,17-Jun-2007,2007.0,USA,Surfing,F,9,,16h30,Shark involvement not confirmed
2007.06.12,12-Jun-2007,2007.0,USA,Swimming,F,,N,11h00,3' to 4' shark
2007.06.05,05-Jun-2007,2007.0,AUSTRALIA,Surfing,M,,N,Sunset,
2007.05.26,26-May-2007,2007.0,USA,Wading,F,,N,17h00,
2007.05.24,24-May-2007,2007.0,USA,Reviving a sedated shark,F,40,N,Morning,A 10-year-old 94-pound pregnant blacktip reef shark
2007.05.17.R,Reported 17-May-2007,2007.0,ENGLAND,Fishing,M,38,N,Afternoon,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length"
2007.05.16,16-May-2007,2007.0,AUSTRALIA,Wading,F,38,N,14h30,2.5 m shark
2007.05.12,12-May-2007,2007.0,AUSTRALIA,Surfing,M,19,N,17h45,10' shark
2007.05.10,10-May-2007,2007.0,USA,Surfing,F,21,N,16h00,4' to 5' shark
2007.05.09.R,Reported 09-May-2007,2007.0,SEYCHELLES,Diving,M,,N,,"White shark, 2m "
2007.05.08,08-May-2007,2007.0,AUSTRALIA,Swimming,M,45,,12h15,Shark involvement prior to death was not confirmed
2007.05.07.b,07-May-2007,2007.0,USA,Diving,F,63,N,08h30,"Tiger shark, 14' "
2007.05.07.a,07-May-2007,2007.0,USA,Swimming,M,68,N,08h30,6' to 8' shark
2007.05.04,04-May-2007,2007.0,TURKS & CAICOS,Sea Disaster,,,Y,  ,
2007.05.00,May-2007,2007.0,BAHAMAS,Shark tagging,F,20,N,,"Lemon shark, >1 m "
2007.04.26,26-Apr-2007,2007.0,AUSTRALIA,Swimming,F,13,N,18h00,"""a small shark"""
2007.04.22,22-Apr-2007,2007.0,USA,Body boarding,M,12,N,12h30,blacktip or spinner shark
2007.04.20,20-Apr-2007,2007.0,USA,Surfing,M,24,N,17h00,3' to 4' shark
2007.04.13.R,Reported      13-Apr-2007,2007.0,USA,Fishing,,,N,,"Bull shark, 10' "
2007.04.09,09-Apr-2007,2007.0,NEW CALEDONIA,Surfing,M,26,N,16h00,Tiger shark
2007.04.01,01-Apr-2007,2007.0,USA,Playing on a sandbar,M,7,N,13h05,
2007.03.31.b,31-Mar-2007,2007.0,USA,Surfing,M,27,N,14h20,3' shark
2007.03.31.a,31-Mar-2007,2007.0,USA,,M,9,N,13h20,
2007.03.22,22-Mar-2007,2007.0,YEMEN,Murder,,,Y,Morning,
2007.03.21,21-Mar-2007,2007.0,USA,Surfing,M,11,N,Evening,4' to 5' shark
2007.03.20,20-Mar-2007,2007.0,AUSTRALIA,Surfing,F,42,N,10h00,1.5 m shark
2007.03.14.R,Reported 14-Mar-2007,2007.0,USA,Fishing,M,,N,,5' shark
2007.03.12,12-Mar-2007,2007.0,AUSTRALIA,Swimming,F,59,N,15h30,2 to 2.5 m shark
2007.03.11,11-Mar-2007,2007.0,USA,Surfing,M,29,N,13h00,
2007.03.05.R,Reported 05-Mar-2007,2007.0,NEW ZEALAND,Fishing,M,16,N,,Tiger shark
2007.02.04,04-Feb-2007,2007.0,COSTA RICA,Swimming,M,36,,,Shark involvement prior to death was not confirmed
2007.02.03,03-Feb-2007,2007.0,AUSTRALIA,Boogie Boarding,M,26,N,08h00,
2007.02.00,Feb-2007,2007.0,NEW CALEDONIA,Fishing,M,,N,,
2007.01.25.b,25-Jan-2007,2007.0,NEW CALEDONIA,Fishing,M,30,N,14h00,Tiger shark
2007.01.25.a,25-Jan-2007,2007.0,USA,Shrimping,,,N,03h30,14' shark
2007.01.23,23-Jan-2007,2007.0,AUSTRALIA,Diving,M,41,N,10h30,"White shark, 3m"
2007.01.19,19-Jan-2007,2007.0,AUSTRALIA,Swimming,M,20,,,Shark involvement prior to death was not confirmed
2007.01.14,14-Jan-2007,2007.0,SOUTH AFRICA,Surfing,M,24,Y,Afternoon,Tiger shark
2007.01.09,09-Jan-2007,2007.0,AUSTRALIA,Surfing,M,,N,06h30,2.4 m shark
2007.01.07,07-Jan-2007,2007.0,USA,Surfing,M,54,,14h00,"24"" to 30"" shark"
2007.01.05,01-Jan-2007,2007.0,USA,Surfing,M,24,N,10h15,"6' to 8' shark, possibly a tiger shark"
2006.12.18,18-Dec-2006,2006.0,AUSTRALIA,Surfing,M,25,N,20h00,2.5 to 3 m shark
2006.12.11,11-Dec-2006,2006.0,NEW ZEALAND,Surfing,M,10,N,11h00,2 to 3 m shark
2006.12.10,10-Dec-2006,2006.0,USA,Surfing,M,43,N,11h50,"White shark, 12' to 15' "
2006.12.06,06-Dec-2006,2006.0,SOUTH AFRICA,Fishing,M,25,N,"""Evening""","Raggedtooth shark, 150-kg"
2006.12.02,02-Dec-2006,2006.0,AUSTRALIA,Body boarding,M,15,N,07h30,"White shark, 5m "
2006.11.25,25-Nov-2006,2006.0,PHILIPPINES,Sea Disaster,,,Y,14h20,
2006.11.11,11-Nov-2006,2006.0,USA,Swimming,M,29,N,12h30,2 m to 3 m shark
2006.11.09,09-Nov-2006,2006.0,SOUTH AFRICA,Canoeing,M,,N,Afternoon,"Bull shark, 1.5m "
2006.10.31,31-Oct-2006,2006.0,USA,Surfing,M,22,N,Just before sundown,"White shark, 16' "
2006.10.16,16-Oct-2006,2006.0,USA,Fishing,M,15,N,,
2006.10.10,10-Oct-2006,2006.0,USA,Surfing,M,20,N,11h30,
2006.10.07,07-Oct-2006,2006.0,USA,Surfing,M,,N,,1' to 4' shark
2006.10.05,05-Oct-2006,2006.0,USA,Playing soccer in the water,M,18,N,12h00,3' to 3.5' shark
2006.10.00.b,Oct-2006,2006.0,BAHAMAS,Diving,F,26,N,,
2006.10.00.a,Oct-2006,2006.0,GULF OF ADEN,Murder,,,Y,,
2006.09.30,30-Sep-2006,2006.0,SOUTH AFRICA,Fishing,M,36,,,Invalid
2006.09.29,29-Sep-2006,2006.0,USA,Surfing,M,19,N,,
2006.09.18.R,Reported 18-Sep-2006,2006.0,USA,Diving,M,,N,,Nurse shark
2006.09.16,16-Sep-2006,2006.0,USA,Surfing,M,16,N,Morning,
2006.09.14,14-Sep-2006,2006.0,USA,Swimming,M,55,N,14h00,Spinner shark
2006.09.11,11-Sep-2006,2006.0,USA,Surfing,M,52,N,,5' shark
2006.09.04,04-Sep-2006,2006.0,AUSTRALIA,Diving,M,44,,11h00,No shark involvement
2006.09.03.b,03-Sep-2006,2006.0,BRAZIL,,M,20,Y,13h00,
2006.09.03.a,03-Sep-2006,2006.0,USA,Standing,M,33,N,17h30,3' shark
2006.09.02,02-Sep-2006,2006.0,USA,Swimming,M,12 or 13,N,17h55,
2006.09.02,02-Sep-2006,2006.0,SOUTH AFRICA,Surfing,M,37,N,,"White shark, 3.5m "
2006.08.29.b,29-Aug-2006,2006.0,USA,Surfing,M,23,N,Sunset,
2006.08.29.a,29-Aug-2006,2006.0,AUSTRALIA,Surfing,M,,N,16h00,"Bronze whaler shark, 6'"
2006.08.27,27-Aug-2006,2006.0,REUNION,Body boarding,M,27,N,18h00,
2006.08.22.b,22-Aug-2006,2006.0,BRAZIL,,M,17,,,Shark involvement prior to death was not confirmed
2006.08.22.a,22-Aug-2006,2006.0,BELIZE,Fishing,M,34,,,Shark involvement prior to death was not confirmed
2006.08.20.b,20-Aug-2006,2006.0,ITALY,Sea Disaster,M,,Y,,
2006.08.20.a,20-Aug-2006,2006.0,REUNION,Surfing,M,34,Y,11h00,
2006.08.15,15-Aug-2006,2006.0,SOUTH AFRICA,Surfing,M,,N,,5 m shark
2006.08.13,13-Aug-2006,2006.0,SOUTH AFRICA,Lifesaving drill,M,24,N,11h00,White shark
2006.08.00.b,Aug-2006,2006.0,USA,Wading,F,59,N,12h00,
2006.08.00.a,Early Aug-2006,2006.0,REUNION,Fishing,M,,N,,"Bull shark, 1.5m "
2006.07.31.R,31-Jul-2006,2006.0,USA,Touching sharks,,,N,,small catsharks
2006.07.31.a,31-Jul-2006,2006.0,USA,Surfing,M,41,N,16h00,White shark?
2006.07.29.b,29-Jul-2006,2006.0,USA,Boogie Boarding,M,,N,Afternoon,"Thought to involve a mako shark, but possibly a sea lion"
2006.07.29.a,29-Jul-2006,2006.0,USA,Surfing,M,15,N,,
2006.07.28,28-Jul-2006,2006.0,SOUTH AFRICA,Surfing,M,19,N,16h30,"White shark, 3m to 4m"
2006.07.25,25-Jul-2006,2006.0,USA,Surfing,M,14,N,13h45, 
2006.07.23,23-Jul-2006,2006.0,USA,Fishing,M,,N,,"Bull shark, 4' to 5' "
2006.07.17.R,Reported 17-Jul-2006,2006.0,AUSTRALIA,,,,,,Shark involvement prior to death was not confirmed
2006.07.17,17-Jul-2006,2006.0,USA,Standing,M,49,N,10h00,"Angel shark, 1.2m "
2006.07.13,13-Jul-2006,2006.0,SPAIN,Swimming,F,7,,,"Shark involvement not confirmed, injury may have been caused by a bluefish"
2006.07.12,12-Jul-2006,2006.0,USA,Swimming,F,21,N,13h30,
2006.07.10,10-Jul-2006,2006.0,BRAZIL,,M,,Y,,Bull or tiger shark
2006.07.09.b,09-Jul-2006,2006.0,USA,Wading,M,40,N,17h00,
2006.07.09.a,09-Jul-2006.,2006.0,USA,Walking,M,11,N,13h00,
2006.07.08.b,08-Jul-2006,2006.0,USA,Body boarding,F,14,N,11h00,5' to 6' spinner or bull shark
2006.07.08.a,08-Jul-2006,2006.0,USA,Swimming,M,13,N,13h00,
2006.06.30.b,July 2006,2006.0,USA,Fishing,F,28,N,,"1.8 m blacktip ""reef"" shark"
2006.06.30.a,July 2006,2006.0,USA,Fishing,M,35,N,,"1.8 m blacktip ""reef"" shark"
2006.06.27,27-Jun-2006,2006.0,USA,Body boarding,F,9,N,11h10,
2006.06.26,26-Jun-2006,2006.0,USA,Fishing,M,,N,Afternoon,
2006.06.24,24-Jun-2006,2006.0,BAHAMAS,Fishing,M,25,N,13h00,
2006.06.20,20-Jun-2006,2006.0,USA,Surfing,F,22,N,13h00,Possibly a 1' to 3' blacktip or spinner shark
2006.06.18,18-Jun-2006,2006.0,BRAZIL,Body boarding,M,27,Y,09h00,
2006.06.17,17-Jun-2006,2006.0,USA,Diving,M,43,N,11h10,
2006.06.15,15-Jun-2006,2006.0,USA,Surfing,M,24,N,15h30,2' to 3' shark
2006.06.07,07-Jun-2006,2006.0,USA,Playing,F,7,N,13h45,3' to 4' shark
2006.06.05,05-Jun-2006,2006.0,AUSTRALIA,Surfing,M,40,N,11h30,14' white shark
2006.05.31,31-May-2006,2006.0,USA,Fishing,M,26,N,13h30,"Tiger shark, 8' to 12'"
2006.05.28,28-May-2006,2006.0,USA,Tagging sharks,,,N,Afternoon,"Tiger shark, 15' female"
2006.05.27,27-May-2006,2006.0,USA,Surfing,M,31,N,16h00,
2006.05.24,24-May-2006,2006.0,USA,Fishing,M,15,N,16h30,"Grey reef shark, 5' to 8' "
2006.05.21,21-May-2006,2006.0,BRAZIL,Surfing,M,33,N,11h30,
2006.05.19,19-May-2006,2006.0,USA,Diving,F,30s,N,15h30,"Tiger shark, 10' to 12'"
2006.05.10,05-May-2006,2006.0,USA,,M,,N,12h15,
2006.05.04,04-May-2006,2006.0,USA,Swimming,F,20s,N,16h30,
2006.05.02,02-May-2006,2006.0,AUSTRALIA,Diving,M,46,N,16h30,"Wobbegong shark, 2 m "
2006.04.23.R,Reported      23-Apr-2006,2006.0,USA,,M,,,,Invalid
2006.04.21,21-Apr-2006,2006.0,USA,Surfing,M,54,N,,
2006.04.19,19-Apr-2006,2006.0,USA,Standing,F,13,N,15h00,
2006.04.13,13-Apr-2006,2006.0,USA,Fishing,M,35,N,Afternoon,"Bull shark, 4' to bull shark"
2006.04.11,11-Apr-2006,2006.0,AUSTRALIA,Surfing,M,15,N,13h30,"Bronze whaler shark, a  juvenile "
2006.04.09.b,09-Apr-2006,2006.0,SOUTH AFRICA,Body boarding,M,15,N,17h30,"Raggedtooth shark, 2.5 m to 3 m "
2006.04.09.a,09-Apr-2006,2006.0,BRAZIL,Swimming,M,35,N,Afternoon,Tiger shark
2006.04.03,03-Apr-2006,2006.0,USA,Wading,M,11,N,12h30,
2006.03.28.R,Reported  28-Mar-2006,2006.0,Sierra Leone,Fishing,M,,Y,,"3 m, 600-kg shark"
